2.88 ; 1393.29 ; 2298.75
2.9 ; 1402.35 ; 2298.03
2.92 ; 1411.46 ; 2297.44
2.94 ; 1420.64 ; 2296.98
2.96 ; 1429.87 ; 2296.65
2.98 ; 1439.15 ; 2296.45
3 ; 1448.49 ; 2296.37
3.02 ; 1457.89 ; 2296.42
3.04 ; 1467.34 ; 2296.6
3.06 ; 1476.84 ; 2296.91
3.08 ; 1486.4 ; 2297.35
3.1 ; 1496 ; 2297.92
3.12 ; 1505.66 ; 2298.61
3.14 ; 1515.37 ; 2299.44
3.16 ; 1525.13 ; 2300.39
3.18 ; 1534.94 ; 2301.48
3.2 ; 1544.79 ; 2302.69
3.22 ; 1554.69 ; 2304.04
3.24 ; 1564.64 ; 2305.52
3.26 ; 1574.63 ; 2307.13
3.28 ; 1584.67 ; 2308.87
3.3 ; 1594.75 ; 2310.74
3.32 ; 1604.88 ; 2
